ordering_class,prod_num_warps,cons_num_warps,n_workgroups,block_size,buffer_bytes,rep,ms,node,ts
XCHG_ACQREL,4,8,304,256,2097152,0,0.07593400031328201,c09u13,1778503353.8745492
XCHG_ACQREL,4,8,304,256,2097152,1,0.07412900030612946,c09u13,1778503353.8745525
XCHG_ACQREL,4,8,304,256,2097152,2,0.07368800044059753,c09u13,1778503353.8745542
XCHG_ACQREL,4,8,304,256,2097152,3,0.07408899813890457,c09u13,1778503353.874555
XCHG_ACQREL,4,8,304,256,2097152,4,0.07364799827337265,c09u13,1778503353.8745558
XCHG_ACQREL,4,8,304,256,2097152,5,0.07408899813890457,c09u13,1778503353.874557
XCHG_ACQREL,4,8,304,256,2097152,6,0.07368800044059753,c09u13,1778503353.8745577
XCHG_ACQREL,4,8,304,256,2097152,7,0.07605399936437607,c09u13,1778503353.8745582
XCHG_ACQREL,4,8,304,256,2097152,8,0.07906000316143036,c09u13,1778503353.874559
XCHG_ACQREL,4,8,304,256,2097152,9,0.07529100030660629,c09u13,1778503353.8745596
XCHG_ACQREL,4,8,304,256,2097152,10,0.07589299976825714,c09u13,1778503353.8745606
XCHG_ACQREL,4,8,304,256,2097152,11,0.07445000112056732,c09u13,1778503353.8745613
XCHG_ACQREL,4,8,304,256,2097152,12,0.0735279992222786,c09u13,1778503353.8745618
XCHG_ACQREL,4,8,304,256,2097152,13,0.0742890015244484,c09u13,1778503353.8745625
XCHG_ACQREL,4,8,304,256,2097152,14,0.07392899692058563,c09u13,1778503353.874563
XCHG_ACQREL,4,8,304,256,2097152,15,0.0730070024728775,c09u13,1778503353.874564
XCHG_ACQREL,4,8,304,256,2097152,16,0.07264599949121475,c09u13,1778503353.8745646
XCHG_ACQREL,4,8,304,256,2097152,17,0.0735279992222786,c09u13,1778503353.8745651
XCHG_ACQREL,4,8,304,256,2097152,18,0.07292599976062775,c09u13,1778503353.8745658
XCHG_ACQREL,4,8,304,256,2097152,19,0.0732870027422905,c09u13,1778503353.8745663
XCHG_ACQREL,4,8,304,256,2097152,20,0.07408899813890457,c09u13,1778503353.8745668
XCHG_ACQREL,4,8,304,256,2097152,21,0.07464999705553055,c09u13,1778503353.8745675
XCHG_ACQREL,4,8,304,256,2097152,22,0.07404900342226028,c09u13,1778503353.8745682
XCHG_ACQREL,4,8,304,256,2097152,23,0.07340700179338455,c09u13,1778503353.874569
XCHG_ACQREL,4,8,304,256,2097152,24,0.07408899813890457,c09u13,1778503353.8745697
MAX_ACQUIRE,4,8,304,256,2097152,0,0.07456900179386139,c09u13,1778503353.9788034
MAX_ACQUIRE,4,8,304,256,2097152,1,0.07541199773550034,c09u13,1778503353.9788053
MAX_ACQUIRE,4,8,304,256,2097152,2,0.07412900030612946,c09u13,1778503353.978806
MAX_ACQUIRE,4,8,304,256,2097152,3,0.07461000233888626,c09u13,1778503353.9788067
MAX_ACQUIRE,4,8,304,256,2097152,4,0.07529199868440628,c09u13,1778503353.9788074
MAX_ACQUIRE,4,8,304,256,2097152,5,0.07376900315284729,c09u13,1778503353.9788082
MAX_ACQUIRE,4,8,304,256,2097152,6,0.07016000151634216,c09u13,1778503353.9788086
MAX_ACQUIRE,4,8,304,256,2097152,7,0.07372800260782242,c09u13,1778503353.9788094
MAX_ACQUIRE,4,8,304,256,2097152,8,0.07368800044059753,c09u13,1778503353.9788103
MAX_ACQUIRE,4,8,304,256,2097152,9,0.07473000138998032,c09u13,1778503353.978811
MAX_ACQUIRE,4,8,304,256,2097152,10,0.0740479975938797,c09u13,1778503353.9788117
MAX_ACQUIRE,4,8,304,256,2097152,11,0.07324700057506561,c09u13,1778503353.9788125
MAX_ACQUIRE,4,8,304,256,2097152,12,0.07220400124788284,c09u13,1778503353.978813
MAX_ACQUIRE,4,8,304,256,2097152,13,0.07332800328731537,c09u13,1778503353.9788134
MAX_ACQUIRE,4,8,304,256,2097152,14,0.07464999705553055,c09u13,1778503353.9788141
MAX_ACQUIRE,4,8,304,256,2097152,15,0.07408899813890457,c09u13,1778503353.9788146
MAX_ACQUIRE,4,8,304,256,2097152,16,0.07316700369119644,c09u13,1778503353.9788156
MAX_ACQUIRE,4,8,304,256,2097152,17,0.07565300166606903,c09u13,1778503353.9788163
MAX_ACQUIRE,4,8,304,256,2097152,18,0.07384900003671646,c09u13,1778503353.9788167
MAX_ACQUIRE,4,8,304,256,2097152,19,0.07433000206947327,c09u13,1778503353.9788172
MAX_ACQUIRE,4,8,304,256,2097152,20,0.07962100207805634,c09u13,1778503353.978818
MAX_ACQUIRE,4,8,304,256,2097152,21,0.07424899935722351,c09u13,1778503353.9788187
MAX_ACQUIRE,4,8,304,256,2097152,22,0.07473000138998032,c09u13,1778503353.9788191
MAX_ACQUIRE,4,8,304,256,2097152,23,0.07645399868488312,c09u13,1778503353.9788196
MAX_ACQUIRE,4,8,304,256,2097152,24,0.07468999922275543,c09u13,1778503353.9788203
CAS_ACQREL,4,8,304,256,2097152,0,0.08972399681806564,c09u13,1778503354.017658
CAS_ACQREL,4,8,304,256,2097152,1,0.08214700222015381,c09u13,1778503354.01766
CAS_ACQREL,4,8,304,256,2097152,2,0.08130499720573425,c09u13,1778503354.0176609
CAS_ACQREL,4,8,304,256,2097152,3,0.08078400045633316,c09u13,1778503354.017662
CAS_ACQREL,4,8,304,256,2097152,4,0.08222699910402298,c09u13,1778503354.0176628
CAS_ACQREL,4,8,304,256,2097152,5,0.08146499842405319,c09u13,1778503354.0176632
CAS_ACQREL,4,8,304,256,2097152,6,0.07982199639081955,c09u13,1778503354.017664
CAS_ACQREL,4,8,304,256,2097152,7,0.08074399828910828,c09u13,1778503354.0176647
CAS_ACQREL,4,8,304,256,2097152,8,0.08154600113630295,c09u13,1778503354.0176656
CAS_ACQREL,4,8,304,256,2097152,9,0.0823879987001419,c09u13,1778503354.0176663
CAS_ACQREL,4,8,304,256,2097152,10,0.08587600290775299,c09u13,1778503354.0176668
CAS_ACQREL,4,8,304,256,2097152,11,0.08098399639129639,c09u13,1778503354.0176675
CAS_ACQREL,4,8,304,256,2097152,12,0.08062399923801422,c09u13,1778503354.017668
CAS_ACQREL,4,8,304,256,2097152,13,0.08230800181627274,c09u13,1778503354.0176687
CAS_ACQREL,4,8,304,256,2097152,14,0.08186600357294083,c09u13,1778503354.0176694
CAS_ACQREL,4,8,304,256,2097152,15,0.08062399923801422,c09u13,1778503354.0176702
CAS_ACQREL,4,8,304,256,2097152,16,0.081666000187397,c09u13,1778503354.0176706
CAS_ACQREL,4,8,304,256,2097152,17,0.08102399855852127,c09u13,1778503354.0176713
CAS_ACQREL,4,8,304,256,2097152,18,0.08198700100183487,c09u13,1778503354.0176718
CAS_ACQREL,4,8,304,256,2097152,19,0.08010199666023254,c09u13,1778503354.0176725
CAS_ACQREL,4,8,304,256,2097152,20,0.08182600140571594,c09u13,1778503354.0176733
CAS_ACQREL,4,8,304,256,2097152,21,0.08106499910354614,c09u13,1778503354.0176737
CAS_ACQREL,4,8,304,256,2097152,22,0.0801829993724823,c09u13,1778503354.0176744
CAS_ACQREL,4,8,304,256,2097152,23,0.0821869969367981,c09u13,1778503354.017675
CAS_ACQREL,4,8,304,256,2097152,24,0.0819069966673851,c09u13,1778503354.0176759
FADD_RELEASE,4,8,304,256,2097152,0,0.06827600300312042,c09u13,1778503354.0708966
FADD_RELEASE,4,8,304,256,2097152,1,0.06699299812316895,c09u13,1778503354.0708985
FADD_RELEASE,4,8,304,256,2097152,2,0.06594999879598618,c09u13,1778503354.0708997
FADD_RELEASE,4,8,304,256,2097152,3,0.06663200259208679,c09u13,1778503354.0709004
FADD_RELEASE,4,8,304,256,2097152,4,0.06655199825763702,c09u13,1778503354.070901
FADD_RELEASE,4,8,304,256,2097152,5,0.06827600300312042,c09u13,1778503354.0709019
FADD_RELEASE,4,8,304,256,2097152,6,0.06651099771261215,c09u13,1778503354.0709023
FADD_RELEASE,4,8,304,256,2097152,7,0.06699299812316895,c09u13,1778503354.0709028
FADD_RELEASE,4,8,304,256,2097152,8,0.06575000286102295,c09u13,1778503354.0709035
FADD_RELEASE,4,8,304,256,2097152,9,0.06675300002098083,c09u13,1778503354.070904
FADD_RELEASE,4,8,304,256,2097152,10,0.06683199852705002,c09u13,1778503354.0709047
FADD_RELEASE,4,8,304,256,2097152,11,0.0673540011048317,c09u13,1778503354.0709057
FADD_RELEASE,4,8,304,256,2097152,12,0.07773800194263458,c09u13,1778503354.0709064
FADD_RELEASE,4,8,304,256,2097152,13,0.06679199635982513,c09u13,1778503354.0709069
FADD_RELEASE,4,8,304,256,2097152,14,0.06663099676370621,c09u13,1778503354.0709074
FADD_RELEASE,4,8,304,256,2097152,15,0.067392997443676,c09u13,1778503354.0709078
FADD_RELEASE,4,8,304,256,2097152,16,0.06907700002193451,c09u13,1778503354.0709088
FADD_RELEASE,4,8,304,256,2097152,17,0.06763499975204468,c09u13,1778503354.0709093
FADD_RELEASE,4,8,304,256,2097152,18,0.06843599677085876,c09u13,1778503354.07091
FADD_RELEASE,4,8,304,256,2097152,19,0.06651200354099274,c09u13,1778503354.0709107
FADD_RELEASE,4,8,304,256,2097152,20,0.06727299839258194,c09u13,1778503354.0709114
FADD_RELEASE,4,8,304,256,2097152,21,0.06695199757814407,c09u13,1778503354.0709124
FADD_RELEASE,4,8,304,256,2097152,22,0.06743299961090088,c09u13,1778503354.0709128
FADD_RELEASE,4,8,304,256,2097152,23,0.06731399893760681,c09u13,1778503354.0709133
FADD_RELEASE,4,8,304,256,2097152,24,0.0675939992070198,c09u13,1778503354.070914
